model,var,beta,se,t,p
Model A,z_infl,7.34097449166e-10,4.2330946e-08,.017341863,.98622555
Model A,z_d_unrate,-1.11164499204e-10,8.1679906e-11,-1.3609773,.17897284
Model A,z_d_fed,2.65491436388e-10,7.5008949e-10,.35394636,.72470832
Model A,z_d_sent,-9.56416140838e-10,2.0362927e-09,-.46968502,.64040387
Model A,z_d_logepu,1.29664429865e-10,9.1581472e-11,1.4158369,.16236128
Model A,covid_era,.1574365264958006,.099976771,1.5747311,.12095172
Model A,_cons,.0131325825178607,.0070881695,1.8527467,.069190994
Model B (lags 0–3),z_infl,1.96111891992e-09,4.5033659e-08,.043547846,.96549284
Model B (lags 0–3),L.z_infl,2.05304247834e-08,4.8215011e-08,.42580983,.67264861
Model B (lags 0–3),L2.z_infl,-1.02404205662e-07,4.8177235e-08,-2.1255727,.040097538
Model B (lags 0–3),L3.z_infl,1.65754494962e-07,4.9382901e-08,3.3565161,.0018023972
Model B (lags 0–3),z_d_unrate,-2.63297433936e-10,1.5311287e-10,-1.7196296,.093636304
Model B (lags 0–3),L.z_d_unrate,-5.40438515856e-10,6.6332789e-10,-.81473809,.42029917
Model B (lags 0–3),L2.z_d_unrate,6.63306622811e-10,6.9054706e-10,.96055233,.34284976
Model B (lags 0–3),L3.z_d_unrate,-9.14169969154e-10,6.1154604e-10,-1.4948506,.14321227
Model B (lags 0–3),z_d_fed,-2.24653962856e-10,9.8181507e-10,-.22881494,.82023972
Model B (lags 0–3),L.z_d_fed,-2.35114331800e-09,8.9824348e-10,-2.6174901,.012646513
Model B (lags 0–3),L2.z_d_fed,9.67088671621e-10,8.8922791e-10,1.0875599,.28363964
Model B (lags 0–3),L3.z_d_fed,1.68639614019e-09,9.5251573e-10,1.7704654,.08467216
Model B (lags 0–3),z_d_sent,2.75360440497e-10,2.4771172e-09,.11116165,.91207325
Model B (lags 0–3),L.z_d_sent,-4.32591684260e-10,2.5685358e-09,-.16841955,.86714649
Model B (lags 0–3),L2.z_d_sent,1.63477238481e-10,2.7684106e-09,.059050936,.95322096
Model B (lags 0–3),L3.z_d_sent,4.00942007695e-10,2.3404436e-09,.17131026,.86488879
Model B (lags 0–3),z_d_logepu,1.00671671153e-10,1.0137022e-10,.99310899,.32693887
Model B (lags 0–3),L.z_d_logepu,2.12015552640e-11,1.1109837e-10,.19083589,.84967011
Model B (lags 0–3),L2.z_d_logepu,-6.53181495195e-11,1.0927523e-10,-.59773976,.55355942
Model B (lags 0–3),L3.z_d_logepu,-6.38927853005e-11,9.7953694e-11,-.65227544,.51814997
Model B (lags 0–3),covid_era,.1323924823916443,.1147409,1.1538386,.25577196
Model B (lags 0–3),_cons,-.0050891452686067,.023892621,-.21300071,.83246499
